Company Name,Symbol,Industry,Series,Open,High,Low,Previous Close,Last Traded Price,Change,Percentage Change,Share Volume,Value (Indian Rupee),52 Week High,52 Week Low,365 Day Percentage Change,30 Day Percentage Change
Firstsource Solutions Ltd.,FSL,12,1,102.5,104.3,101.35,102.9,103.7,0.8,1,1265235,130116767.4,242.85,93.0,-44.96,-7.34
Gujarat Ambuja Exports Ltd.,GAEL,8,1,280.0,282.6,268.05,282.7,273.15,-9.55,0,245672,67483641.68,394.15,150.05,62.85,-15.99
GAIL (India) Ltd.,GAIL,15,1,134.1,136.4,131.0,135.2,132.6,-2.6,0,10077624,1336595271.12,173.5,125.2,-9.66,-8.15
Galaxy Surfactants Ltd.,GALAXYSURF,2,1,2934.6,2934.6,2838.0,2920.05,2849.95,-70.1,0,18915,53998352.85,3585.65,2585.0,-3.4,1.68
Garware Technical Fibres Ltd.,GARFIBRES,20,1,3093.75,3093.75,2972.35,3078.35,3000.5,-77.85,0,4359,13258639.53,4030.0,2619.8,-9.01,3.57
Great Eastern Shipping Co. Ltd.,GESHIP,18,1,395.75,398.9,385.0,395.6,390.25,-5.35,0,120133,46909533.84,445.0,265.0,1.74,-0.39
General Insurance Corporation of India,GICRE,9,1,114.1,116.4,114.1,115.2,115.95,0.75,1,90066,10390013.76,211.5,105.0,-44.75,-3.6
Gland Pharma Ltd.,GLAND,11,1,2710.0,2710.0,2637.4,2701.7,2641.0,-60.7,0,129469,344517009.0,4350.0,2495.15,-21.1,-5.57
Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,11,1,1505.0,1527.0,1499.0,1499.6,1499.0,-0.6,0,54631,82318537.11,1918.75,1450.0,-0.17,-0.8
Glenmark Pharmaceuticals Ltd.,GLENMARK,11,1,385.2,395.0,382.0,386.35,395.0,8.65,1,398227,155165168.28,690.95,348.5,-40.79,-1.83
Glenmark Life Sciences Ltd.,GLS,11,1,441.0,444.5,440.0,444.3,441.8,-2.5,0,15000,6619500.0,799.0,410.0,-11.06,4.96
GMM Pfaudler Ltd.,GMMPFAUDLR,1,1,4355.0,4372.0,4300.05,4345.6,4330.0,-15.6,0,14737,64042138.79,5295.0,3770.0,-7.22,3.63
GMR Infrastructure Ltd.,GMRINFRA,18,1,34.0,34.75,33.6,34.1,34.5,0.4,1,4338629,148337725.51,49.15,27.35,7.23,-10.26
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,GNFC,2,1,566.0,582.0,563.25,571.8,580.5,8.7,1,1199375,687769600.0,912.0,314.1,51.59,-14.11
Go Fashion (India) Ltd.,GOCOLORS,6,1,990.0,999.5,980.0,993.45,988.5,-4.95,0,6325,6258208.0,1339.9,847.3,-11.06,0.84
Godfrey Phillips India Ltd.,GODFRYPHLP,8,1,1089.0,1089.0,1042.65,1059.15,1061.35,2.2,1,12787,13588233.42,1408.75,933.0,7.91,-8.16
Godrej Agrovet Ltd.,GODREJAGRO,8,1,503.85,507.65,500.6,506.95,502.0,-4.95,0,22224,11190895.2,746.8,441.0,-20.06,-5.71
Godrej Consumer Products Ltd.,GODREJCP,8,1,757.05,785.0,750.55,757.55,782.95,25.4,1,743399,571740736.91,1138.0,660.05,-12.95,-1.23
Godrej Industries Ltd.,GODREJIND,8,1,433.85,435.65,424.0,433.85,426.0,-7.85,0,59044,25182856.44,662.0,405.0,-24.07,-9.29
Godrej Properties Ltd.,GODREJPROP,17,1,1167.0,1233.45,1167.0,1182.95,1226.0,43.05,1,776473,937738677.37,2598.0,1129.55,-15.37,-15.47
Gujarat Pipavav Port Ltd.,GPPL,18,1,75.95,78.5,74.5,77.1,78.25,1.15,1,679600,51744744.0,119.0,70.3,-31.62,-3.99
Granules India Ltd.,GRANULES,11,1,272.1,279.75,268.9,272.25,278.2,5.95,1,879548,242684884.16,404.8,226.95,-18.14,0.85
Graphite India Ltd.,GRAPHITE,1,1,391.0,393.1,383.2,393.05,388.75,-4.3,0,176151,68404717.83,754.0,350.0,-38.33,-11.49
Grasim Industries Ltd.,GRASIM,4,1,1320.0,1350.0,1305.3,1320.75,1345.7,24.95,1,516506,686565600.5,1929.8,1276.6,-11.88,-7.55
Grindwell Norton Ltd.,GRINDWELL,1,1,1676.6,1703.05,1645.15,1683.05,1680.0,-3.05,0,15338,25625196.6,2018.35,1161.0,35.52,-1.81
G R Infraprojects Ltd.,GRINFRA,3,1,1105.55,1105.55,1080.3,1100.55,1093.0,-7.55,0,6544,7140616.48,2267.65,1078.85,-11.06,-22.37
Gujarat State Fertilizers & Chemicals Ltd.,GSFC,2,1,131.3,131.8,127.1,132.0,130.6,-1.4,0,1507206,194535078.42,198.8,98.1,14.09,-20.82
Gujarat State Petronet Ltd.,GSPL,15,1,220.4,221.95,215.55,217.9,217.95,0.05,1,882222,192994884.72,379.2,209.45,-34.64,-14.38
Gujarat Alkalies & Chemicals Ltd.,GUJALKALI,2,1,683.3,692.95,664.4,689.35,689.0,-0.35,0,215330,146672029.5,1044.7,401.0,71.35,-14.21
Gujarat Gas Ltd.,GUJGASLTD,15,1,419.0,425.95,416.7,418.85,423.0,4.15,1,1078048,455033280.32,786.0,403.55,-36.61,-25.11
Hindustan Aeronautics Ltd.,HAL,1,1,1763.0,1779.7,1727.4,1769.8,1737.7,-32.1,0,430150,750263328.5,1972.55,1010.0,73.2,-3.73
Happiest Minds Technologies Ltd.,HAPPSTMNDS,12,1,826.4,826.4,813.0,828.95,816.8,-12.15,0,227373,186004756.38,1580.0,785.6,-17.44,-8.41
